a=1,b=10
ellipse_atlas_x
r theta
1.0 -2.56007101493
1.0 2.49516517837
1.0 -2.08449362443
1.0 -1.03582110802
1.0 1.43507433985
1.0 0.561826928145
1.0 0.241398569504
1.0 1.59678672562
1.0 -2.2094873378
1.0 1.28869017272
1.0 2.52241590879
1.0 -0.107587418646
1.0 -2.38109161166
1.0 1.69540540876
1.0 -1.72583610112
1.0 2.26619684244
1.0 1.44656132338
1.0 2.41871036636
1.0 1.78170033999
1.0 2.18484288225
1.0 -2.60507378681
1.0 -1.25095812846
1.0 -1.58983117012
1.0 1.62221426206
1.0 -0.766137344704
1.0 0.936213923144
1.0 2.66386975482
1.0 -1.8234007901
1.0 1.70946281562
1.0 -1.64654316813
1.0 -0.725973996646
1.0 2.28079139765
1.0 1.61312889115
1.0 0.75676898701
1.0 -2.12184041291
1.0 0.714368368482
1.0 -1.49419358305
1.0 -1.88190734022
1.0 2.16230189045
1.0 2.68245690067
1.0 2.79462998201
1.0 0.107606996876
1.0 -1.79563117517
1.0 1.38798841336
1.0 -1.47909783765
1.0 -2.77019523136
1.0 1.75350748009
1.0 0.156647198307
1.0 -1.3867177777
1.0 1.6026151667
1.0 -1.36405689059
1.0 -2.45193292104
1.0 1.52221311537
1.0 2.77557601688
1.0 -2.14284493563
1.0 -0.964125988943
1.0 -1.08505465473
1.0 -0.229958837885
1.0 -1.67062314365
1.0 1.86882918977
1.0 1.73010983444
1.0 0.741452865859
1.0 1.78672858579
1.0 2.75381941537
1.0 2.96435348157
1.0 -2.2621319499
1.0 -0.540376996303
1.0 -1.04708832766
1.0 2.05527757386
1.0 0.544215297241
1.0 -1.04346919333
1.0 2.24300741226
1.0 1.8372583358
1.0 -1.82466319147
1.0 -1.62034444811
1.0 1.86145862924
1.0 0.660390972236
1.0 -2.35637587174
1.0 -1.37044691628
1.0 2.75825736413
1.0 0.547835482044
1.0 -0.191724763626
1.0 1.50126551639
1.0 -0.471625537482
1.0 1.78229314025
1.0 -1.30208863126
1.0 -0.126481609113
1.0 0.491431618788
1.0 -2.34420953276
1.0 -1.96995837679
1.0 1.00642733596
1.0 -1.24209302379
1.0 1.7340100685
1.0 1.84454311103
1.0 -0.826966729268
1.0 1.5955424444
1.0 2.48056138602
1.0 1.75841743556
1.0 -1.06893219417
1.0 -1.00382677453
1.0 0.72965446743
1.0 -0.331413331032
1.0 -2.41976841197
1.0 -1.57277834136
1.0 -1.8102576693
1.0 0.867357853096
1.0 -0.809758138529
1.0 -3.09710963304
1.0 1.59389271406
1.0 -2.89730317449
1.0 1.0482463029
1.0 1.15938132533
1.0 -0.889876985747
1.0 -1.95220810676
1.0 -2.2079988149
1.0 -2.01486641897
1.0 0.917953772462
1.0 1.59504025868
1.0 -1.34934518307
1.0 1.20294239885
1.0 -0.660552632862
1.0 0.860401044453
1.0 1.04589062737
1.0 1.23793920542
1.0 0.898360879225
1.0 1.48559645295
1.0 2.76963998132
1.0 -1.52499164664
1.0 1.67614228199
1.0 -2.65064626134
1.0 2.28123109779
1.0 1.5655563372
1.0 1.06092325696
1.0 -1.15933997577
1.0 1.67885108855
1.0 -1.68574476674
1.0 -2.52938018909
1.0 1.06692321447
1.0 -1.4553121816
1.0 1.81961885185
1.0 -1.94704600945
1.0 1.46332370599
1.0 -1.51872185288
1.0 1.39060494894
1.0 -1.14396165479
1.0 0.900270546945
1.0 -1.75742868686
1.0 -1.86170101682
1.0 2.16976904202
1.0 -1.08937961869
1.0 2.30080974571
1.0 -0.934954282759
1.0 -1.2752578108
1.0 -1.22356243199
1.0 -1.5601503137
1.0 -1.64343003391
1.0 0.700627745848
1.0 -0.624491557866
1.0 -1.48582331736
1.0 1.80257915809
1.0 1.26571726106
1.0 2.59772739788
1.0 2.07589683682
1.0 0.838386666359
1.0 -0.983310156214
1.0 -0.576595617213
1.0 1.82798277289
1.0 -1.96080527487
1.0 2.24713420834
1.0 -1.33624900946
1.0 1.86996824252
1.0 -2.12274890368
1.0 -1.52795362517
1.0 2.62478276535
1.0 2.30322714542
1.0 2.52349726157
1.0 -1.34985003402
1.0 2.42870535101
1.0 -0.883280874877
1.0 -1.92408269225
1.0 1.74962363442
1.0 -1.04026832113
1.0 -1.54812226549
1.0 2.42813672332
1.0 -1.7239162084
1.0 1.6472035815
1.0 2.60985674139
1.0 -1.47581372591
1.0 -1.38192982471
1.0 -0.832740470029
1.0 -1.60400651185
1.0 -0.895391192721
1.0 2.56970276181
1.0 0.998701352907
1.0 -1.80259189847
1.0 1.14012348481
1.0 0.650706223513
1.0 -1.11979869365
1.0 -2.75801099501
1.0 -1.03773833878
1.0 -1.30998526099
1.0 -1.9806625221
1.0 2.2659480456
1.0 -2.86936168706
1.0 2.24959088523
1.0 -2.60604423976
1.0 -2.56397942167
1.0 2.47302584463
1.0 1.62388786099
1.0 0.831769892852
1.0 0.779716250711
1.0 2.07063285077
1.0 0.576868312211
1.0 2.11970571323
1.0 2.21177771955
1.0 -2.04309227781
1.0 1.25735387952
1.0 -0.381619888166
1.0 -1.2310257835
1.0 -1.47322739777
1.0 1.21701005078
1.0 2.13754181142
1.0 0.617670307527
1.0 2.25556766089
1.0 1.17546476711
1.0 -2.15140617483
1.0 0.798619836276
1.0 -1.06269071059
1.0 2.17316058004
1.0 1.17704265698
1.0 2.38328047922
1.0 -1.98919050741
1.0 2.23721993779
1.0 2.1222208696
1.0 -1.56687325389
1.0 1.67241695809
1.0 2.43370572461
1.0 -1.09598837148
1.0 -1.09693728583
1.0 1.45692653882
1.0 -1.67696443757
1.0 -1.7453642897
1.0 -1.5166637217
1.0 0.390197486528
1.0 -1.72709987638
1.0 -1.24297207251
1.0 -0.47017576394
1.0 1.42869134583
1.0 2.01253659132
1.0 -2.37413800581
1.0 0.820634324208
1.0 -0.760802633016
1.0 -1.17650783516
1.0 -0.476802849866
1.0 1.59989411014
1.0 -1.54306822951
1.0 2.20008613133
1.0 1.37143411159
1.0 -0.706012399301
1.0 -2.40074994978
1.0 -1.49562328782
1.0 -2.59457414394
1.0 -1.77810701186
1.0 2.6595857011
1.0 -1.77069804232
1.0 1.26603100867
1.0 -2.72377235502
1.0 2.17840904185
1.0 -1.08666572636
1.0 0.768483179314
1.0 -0.56273613434
1.0 -1.12430510207
1.0 -1.07761124709
1.0 -0.920505272983
1.0 -0.965907445567
1.0 -1.2503716246
1.0 -2.34155030626
1.0 -0.370433004549
1.0 -1.63890142656
1.0 -2.0803012231
1.0 1.39847949268
1.0 1.95320578019
1.0 -1.18076371414
1.0 -1.55346863002
1.0 1.21012252287
1.0 -1.16189919916
1.0 2.72651569843
1.0 1.62720827258
1.0 2.81370921255
1.0 -2.56946038762
1.0 0.653999347728
1.0 1.8436964326
1.0 -0.491336077183
1.0 0.189392639572
1.0 2.56297716717
1.0 -1.92031747332
