time,RobotiQ 3-Finger Adaptive Gripper_cmx,RobotiQ 3-Finger Adaptive Gripper_cmy,RobotiQ 3-Finger Adaptive Gripper_cmz,RobotiQ 3-Finger Adaptive Gripper_q[Link 0],RobotiQ 3-Finger Adaptive Gripper_q[Link 1],RobotiQ 3-Finger Adaptive Gripper_q[Link 2],RobotiQ 3-Finger Adaptive Gripper_q[Link 3],RobotiQ 3-Finger Adaptive Gripper_q[Link 4],RobotiQ 3-Finger Adaptive Gripper_q[Link 5],RobotiQ 3-Finger Adaptive Gripper_q[reflex:base],RobotiQ 3-Finger Adaptive Gripper_q[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_q[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_q[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 0],RobotiQ 3-Finger Adaptive Gripper_dq[Link 1],RobotiQ 3-Finger Adaptive Gripper_dq[Link 2],RobotiQ 3-Finger Adaptive Gripper_dq[Link 3],RobotiQ 3-Finger Adaptive Gripper_dq[Link 4],RobotiQ 3-Finger Adaptive Gripper_dq[Link 5],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:base],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:pad],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_1],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:swivel_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_2],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:distal_pad_3],RobotiQ 3-Finger Adaptive Gripper_dq[reflex:proximal_pad_3],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],RobotiQ 3-Finger Adaptive Gripper_t[0],heinz_comx,heinz_comy,heinz_comz,heinz_x,heinz_y,heinz_z,heinz_rx,heinz_ry,heinz_rz,heinz_dx,heinz_dy,heinz_dz,heinz_wx,heinz_wy,heinz_wz,cmd_setpoint1,cmd_setpoint2,cmd_setpoint3,cmd_setpoint4,tendon_length1,tendon_length2,tendon_length3
0.0,-0.000275966431402,0.00627636519769,0.275530229873,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1585,0.0,0.1585,0.0,0.1585,0.0,-0.00116717792116,-0.000184965072549,0.0982167422771,-3.31016420871e-11,-3.32603931376e-12,-3.00915656282e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.882744479495,0.882744479495,0.882744479495,0.0,0.0215,0.0215,0.0215
0.01,-0.000275474183352,0.00627606281442,0.275220444105,-2.64916329222e-15,-3.40462250264e-10,0.000340402563679,6.28318530692,6.28318530611,6.28318530692,0.0,0.0,-0.0,0.00154507648105,1.75336787811e-07,0.0,0.0,1.75010189271e-07,0.00145856732408,6.28318530711,0.0,0.0,0.0014585568467,1.75105865613e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.28605688674e-08,3.70715455275e-06,-6.88287610279,1.3076415885e-07,2.58579338028e-06,1.55902701647e-07,2.78536715799e-07,0.309274617595,-8.76683939055e-08,0.30970716338,3.27418092638e-11,0.309707215767,-8.75529328065e-08,-0.00114921259228,-0.000201397095225,0.0982123091817,-1.45059467602e-07,2.54942112116e-07,-4.61404370808e-06,0.000169935506943,0.000184397811621,-3.07542112168e-06,0.0009695449844,-0.000758573878556,-0.0132977049798,0.00795409083366,0.00987842399627,-0.000485636730446,0.872744479495,0.872744479495,0.872744479495,0.0,0.021159225,0.021159225,0.021159225
0.02,-0.000274645096048,0.0062750420808,0.274699539601,3.10118175684e-15,-6.68212313832e-10,0.00088852758123,6.28318530701,6.28318530422,6.28318530683,0.0,0.0,-1.64636304589e-10,0.006448900084,1.75685032189e-07,0.0,0.0,-0.0,0.00615915864611,6.28318530634,0.0,0.0,0.0061591539895,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.73008304227e-08,5.29421932549e-06,-10.0205896209,8.15700442536e-08,4.86079408976e-06,2.33959321822e-07,2.62026204146e-10,0.44325549958,-8.78425160944e-08,0.444704206769,4.19739798474e-10,0.444704230052,0.0,-0.00116679398343,-0.000207941426197,0.0982236489654,3.60615825566e-07,5.54989504286e-07,6.94771553668e-06,0.00023966167646,2.49890547366e-07,-6.3772527028e-06,-0.00338745513,0.000462614902062,-0.00519509892911,-0.00462749321014,-0.0351603105664,-0.000613106763922,0.862744479495,0.862744479495,0.862744479495,0.0,0.0208330218184,0.0208323560204,0.0208323562332
0.03,-0.000273856408856,0.00627325966659,0.274202950579,2.48522360814e-15,-6.51068556054e-10,0.00137958107812,6.28318530676,6.28318530265,6.28318530644,0.0,0.0,1.75105865724e-07,0.0141124061672,6.28318530586,0.0,0.0,-1.16415321827e-10,0.0135640872074,-0.0,0.0,0.0,0.0135641356362,6.28318530625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.02267592121e-07,5.41720655462e-06,-11.3994532159,2.11562328189e-07,3.35413537916e-06,4.20403194031e-07,-2.78874269553e-07,0.563437969164,6.58528342967e-10,0.566179563963,0.0,0.566179321819,4.65657290505e-10,-0.00118024414405,-0.000195397762582,0.0982282459736,5.68676315843e-07,3.5923780256e-07,1.16830438835e-05,0.000109941276605,-0.000138814808452,-5.22504933542e-06,0.000707150087692,0.00157711515203,0.000965506769717,-0.0163941849023,0.00744258379564,0.000241116373218,0.852744479495,0.852744479495,0.852744479495,0.0,0.0205416530521,0.0205389250142,0.0205389250843
0.04,-0.000273205983769,0.00627058876854,0.273793740084,1.77249115978e-15,-6.31816377248e-10,0.00174516663662,6.28318530669,6.28318530002,6.28318530683,0.0,0.0,-5.82076609135e-10,0.0241167859537,6.28318530455,0.0,0.0,-4.19741574831e-10,0.0233133861227,6.28318530532,0.0,0.0,0.023313389848,1.75776848299e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.85554028062e-07,5.42511753653e-06,-11.9360042577,2.4568327898e-07,5.0975335178e-06,2.36406019291e-07,2.58363627298e-10,0.671916070231,1.31699318118e-09,0.675933069387,9.31286603389e-10,0.67593305076,-8.78884241495e-08,-0.00115727970842,-0.000180470349733,0.0982135012746,9.64634824911e-08,1.81395517665e-08,-3.36892257349e-06,-4.55142799183e-05,9.98068935587e-05,-5.43160376765e-06,0.00165881647263,0.00148240826093,0.00523809529841,-0.0152502246201,0.017090683803,-0.000105459213955,0.842744479495,0.842744479495,0.842744479495,0.0,0.0202805295509,0.0202750439005,0.0202750445312
0.05,-0.000272690833719,0.00626684919753,0.273468432649,9.13679302746e-16,-6.15156287322e-10,0.0019921984043,6.28318530692,6.2831852978,6.28318530681,0.0,0.0,-1.89510451776e-09,0.0361833048416,-0.0,0.0,0.0,-1.64636304589e-10,0.0351474953247,6.28318530455,0.0,0.0,0.03514749905,6.28318530455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86101488712e-08,5.35160977997e-06,-12.1018564693,1.28068368917e-07,7.68976341489e-06,2.23283539031e-07,2.75411925956e-09,0.770083475792,0.0,0.775262523376,1.31688571159e-09,0.77526250475,1.31688571159e-09,-0.00115411565639,-0.000175906228833,0.0982244238257,8.91935776582e-08,-3.43416507298e-08,7.50724771818e-06,-9.25154163269e-05,0.00013209626195,-5.69663689021e-06,-0.000896020792425,-0.000551610370167,-0.00155989918858,0.00575868040323,-0.00929868780077,-0.000103717633465,0.832744479495,0.832744479495,0.832744479495,0.0,0.0200449380873,0.0200366923365,0.0200366924967
0.06,-0.000272274742845,0.00626183235557,0.273204311467,9.82211381033e-16,-5.99946090736e-10,0.00214910783326,6.28318530692,6.28318529533,6.28318530681,0.0,0.0,-1.00144248449e-09,0.0501021218849,-0.0,0.0,0.0,1.74961968448e-07,0.0488596407128,6.28318530191,0.0,0.0,0.048859655614,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.50414356547e-07,5.23067925179e-06,-12.123126949,1.36432261769e-07,8.93043096545e-06,2.41776919176e-07,2.80053811644e-07,0.858989390575,0.0,0.865201796436,2.63339217099e-09,0.86520172193,0.0,-0.00116718234494,-0.000193688130821,0.0982167720795,3.25691243894e-07,3.35107446953e-07,4.77744213634e-08,9.2312162451e-05,-3.3474900647e-06,-7.22211370885e-06,-0.000765448319726,-0.00180989596993,-0.00339776417241,0.0186686255038,-0.00789515301585,1.49868465087e-05,0.822744479495,0.822744479495,0.822744479495,0.0,0.0198317706788,0.0198209990717,0.0198209991518
0.07,-0.000271919767863,0.00625531670939,0.27297817186,1.5183554946e-15,-5.96424635713e-10,0.00224456479455,6.28318530669,6.28318529286,6.28318530676,0.0,0.0,-1.56620760805e-09,0.0656989847673,-0.0,0.0,0.0,1.76083065018e-07,0.0642728765858,6.28318529885,0.0,0.0,0.0642729063881,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.93920998029e-07,5.06154723924e-06,-12.0980820446,2.49175901731e-07,1.08020020227e-05,2.77422332126e-07,2.82736937589e-07,0.939505076164,0.0,0.946635617071,4.16303436168e-09,0.946635468059,0.0,-0.00117027526721,-0.000204013820621,0.0982198342681,3.20498246304e-07,5.24192979803e-07,3.16645782826e-06,0.000199358008103,-3.47868808603e-05,-6.28425505056e-06,0.000990685541183,-0.00126302195713,0.00858303904533,0.0131884282455,0.0102994851768,0.000178209636942,0.812744479495,0.812744479495,0.812744479495,0.0,0.019638720175,0.0196257006169,0.0196257008572
0.08,-0.000271598286142,0.00624707811423,0.27277205814,1.39836018274e-15,-5.91619820526e-10,0.00230101046567,6.28318530706,6.28318528981,6.28318530666,0.0,0.0,1.76411761088e-07,0.0828203146709,-0.0,0.0,0.0,-4.93908025589e-10,0.0812296678675,6.28318529886,0.0,0.0,0.0812296678675,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.79586576757e-07,5.00858055703e-06,-12.0702856727,5.92122407939e-08,1.36571920846e-05,3.12060796323e-07,-2.8155345861e-07,1.01239842665,0.0,1.02035166066,4.16186995977e-09,1.02035166066,0.0,-0.00116228568368,-0.000201242408366,0.0982091277838,1.91562149984e-07,4.46524389392e-07,-7.64186985569e-06,0.000170346494997,4.78717556689e-05,-6.02635509495e-06,0.000361231155694,0.0013615754433,-0.0143722556531,-0.0140648698434,0.00371468812227,-3.16250225296e-05,0.802744479495,0.802744479495,0.802744479495,0.0,0.0194638860315,0.0194488694161,0.0194488690157
0.09,-0.000271290044522,0.00623689764356,0.272573939139,3.27723186365e-15,-5.93460012118e-10,0.00233394207416,6.28318530676,6.28318528792,6.28318530676,0.0,0.0,-6.58544330179e-10,0.101326431836,-0.0,0.0,0.0,-2.1402701833e-09,0.0995868479265,6.28318529666,0.0,0.0,0.0995868777288,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.88956726641e-07,5.03118989535e-06,-12.0512064295,2.14464556859e-07,1.28187936681e-05,2.68925930531e-07,-2.35823442374e-09,1.07836784082,0.0,1.08706576037,5.26182608596e-09,1.08706561136,0.0,-0.00115636538249,-0.000190373335499,0.0982271060348,4.21949145402e-08,1.84572955819e-07,1.02432893709e-05,5.70261690882e-05,0.000109671913378,-6.96265715305e-06,-0.0010212919442,-4.01799479732e-05,0.0107796182856,0.000453280867077,-0.0106092970818,-0.000164056385984,0.792744479495,0.792744479495,0.792744479495,0.0,0.0193055961314,0.0192887909427,0.0192887911029
